season,week,home_team,away_team,model_spread,sigma,z,p_home_win,actual_margin,home_win,vegas_spread_home,z_cover,p_home_cover,home_cover,edge_pts,abs_edge_pts,p_best,side,ev_per_unit,kelly_raw,kelly_capped,stake_frac,win,bankroll,p_home_cover_cal
2020,5,CLE,IND,-4.295407451,12.068836286738891,-0.355909,0.417084296893064,9,1,1.0,-0.2730509696797328,0.4361970528688343,1,-5.295407451,5.295407451,0.5638029471311656,AWAY,0.0763510808867707,0.0839861889754478,0.05,0.0125,0,139.4949887501169,0.3373493975903614
2020,5,SF,MIA,12.715000926300757,12.068836286738891,1.0535399291373155,0.7322820120289918,-26,0,8.5,1.7578331847629396,0.8494364811809068,0,4.215000926300757,4.215000926300757,0.8494364811809068,HOME,0.6216514640726402,0.6838166104799042,0.05,0.0125,0,137.75130139074045,0.9159663865546218
2020,5,PIT,PHI,3.713186974270469,12.068836286738891,0.3076673579830127,0.5718086762699182,9,1,7.5,0.929102583535034,0.7076494841889792,1,-3.786813025729531,3.786813025729531,0.7076494841889792,HOME,0.3509671970880512,0.3860639167968563,0.05,0.0125,1,139.3166570883625,0.8125
2020,5,HOU,JAX,4.746666200470995,12.068836286738891,0.3932994107879796,0.5914795549053626,16,1,6.5,0.931876606266398,0.7082099076410147,1,-1.7533337995290053,1.7533337995290053,0.7082099076410147,HOME,0.3520370964055734,0.3872408060461308,0.05,0.0125,1,140.89980091891206,0.8125
2020,5,ATL,CAR,1.4478702544650086,12.068836286738891,0.1199676770871366,0.5281296966232365,-7,0,2.5,0.3271127522711436,0.576293098872747,0,-1.0521297455349914,1.0521297455349914,0.576293098872747,HOME,0.1001959160297898,0.1102155076327688,0.05,0.0125,0,139.13855340742566,0.7284768211920529
2020,5,CHI,TB,-8.420477553,12.068836286738891,-0.697704182,0.340751056573522,1,1,-3.5,-0.9877072875781812,0.2806187821882324,0,-4.920477553,4.920477553,0.7193812178117676,AWAY,0.3733641430951926,0.4107005574047119,0.05,0.0125,1,140.71967333251004,0.11904761904761904
2020,5,NYJ,ARI,-4.189230571,12.068836286738891,-0.347111393,0.4191051805237579,-20,0,-7.0,-0.927117603152394,0.2927518395218738,0,2.810769429,2.810769429,0.7072481604781262,AWAY,0.3502010336400591,0.3852211370040651,0.05,0.0125,1,142.31876052947038,0.16783216783216784
2020,6,SF,LA,1.2041105083544068,12.764794089912453,0.094330586,0.522125386,8,1,-2.0,-0.0623503588102964,0.4853714007379506,1,3.2041105083544066,3.2041105083544066,0.5146285992620494,AWAY,-0.0175272195906329,-0.0192799415496962,0.0,0.0,0,142.31876052947038,0.5
2020,6,DAL,ARI,-1.964267117,12.764794089912453,-0.153881614,0.4639375583780206,-28,0,1.0,-0.0755411415341219,0.4822784467705838,0,-2.964267117,2.964267117,0.5177215532294162,AWAY,-0.0116224892892964,-0.012784738218226,0.0,0.0,1,142.31876052947038,0.3373493975903614
2020,6,MIA,NYJ,5.265227054,12.764794089912453,0.4124803750797176,0.5958561168081052,24,1,9.5,1.1567148635533742,0.7518808803521391,1,-4.234772946,4.234772946,0.7518808803521391,HOME,0.4354089533995382,0.478949848739492,0.05,0.0125,1,143.93601917185072,0.8780487804878049
