season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,chosen_side,p_win,ev_per_1,breakeven_p,won,bet_side
2022,7,MIA,PIT,4.345656856258706,7.943190336058034,6.0,7.5,-3.1543431437412943,True,True,"(-5, -3]",3.1543431437412943,HOME,0.802940067062259,0.5328855825734035,0.5238095238095238,True,MIA +7.5
2023,16,DEN,NE,4.782405135042587,7.943190336058034,-3.0,7.0,-2.2175948649574133,False,False,"(-3, -2]",2.2175948649574133,HOME,0.8016750414944436,0.5304705337621195,0.5238095238095238,True,DEN +7.0
2023,11,BAL,CIN,7.781930925066048,7.943190336058034,14.0,4.0,3.781930925066048,True,True,"(3, 5]",3.781930925066048,HOME,0.8016655388896525,0.5304523924257003,0.5238095238095238,True,BAL +4.0
2024,3,CIN,WAS,4.258180499971475,7.943190336058034,-5.0,7.5,-3.241819500028525,False,False,"(-5, -3]",3.241819500028525,HOME,0.8011892571388632,0.5295431272651026,0.5238095238095238,True,CIN +7.5
2019,3,TB,NYG,6.756677854667104,7.943190336058034,-1.0,5.0,1.756677854667104,False,False,"(1, 2]",1.756677854667104,HOME,0.801159100502788,0.5294855555053226,0.5238095238095238,True,TB +5.0
2021,6,WAS,KC,-5.740025394676737,7.943190336058034,-18.0,-6.0,0.2599746053232632,True,True,"(-1, 1]",0.2599746053232632,AWAY,0.800824717188243,0.528847187359373,0.5238095238095238,True,KC +6.0
2024,2,KC,CIN,5.226600107815302,7.943190336058034,1.0,6.5,-1.273399892184698,True,True,"(-2, -1]",1.273399892184698,HOME,0.80055488942594,0.5283320616313399,0.5238095238095238,True,KC +6.5
2020,2,DAL,ATL,8.712148121525034,7.943190336058034,1.0,3.0,5.7121481215250345,True,True,"(5, 7]",5.7121481215250345,HOME,0.800264180768415,0.527777072376065,0.5238095238095238,True,DAL +3.0
2023,13,WAS,MIA,-3.147972143102855,7.943190336058034,-30.0,-8.5,5.352027856897145,True,True,"(5, 7]",5.352027856897145,AWAY,0.7989701737691364,0.5253066953774421,0.5238095238095238,True,MIA +8.5
2020,14,CLE,BAL,-8.636278986333735,7.943190336058034,-5.0,-3.0,-5.636278986333736,True,True,"(-7, -5]",5.636278986333736,AWAY,0.7987338593335345,0.5248555496367476,0.5238095238095238,True,BAL +3.0
2018,10,PIT,CAR,8.132080415721767,7.943190336058034,31.0,3.5,4.632080415721767,True,True,"(3, 5]",4.632080415721767,HOME,0.7986489671329743,0.5246934827084054,0.5238095238095238,True,PIT +3.5
2021,11,CHI,BAL,-6.629945821648773,7.943190336058034,-3.0,-5.0,-1.6299458216487732,True,True,"(-2, -1]",1.6299458216487732,AWAY,0.7986057988851823,0.5246110705989845,0.5238095238095238,True,BAL +5.0
2024,5,CHI,CAR,7.628881750986107,7.943190336058034,26.0,4.0,3.628881750986107,True,True,"(3, 5]",3.628881750986107,HOME,0.7985842779371953,0.5245699851528274,0.5238095238095238,True,CHI +4.0
2019,14,HOU,DEN,3.613352058143024,7.943190336058034,-14.0,8.0,-4.386647941856976,False,False,"(-5, -3]",4.386647941856976,HOME,0.7982700313454905,0.5239700598413909,0.5238095238095238,False,HOU +8.0
2018,15,CAR,NO,-5.590326125617464,7.943190336058034,-3.0,-6.0,0.4096738743825359,True,True,"(-1, 1]",0.4096738743825359,AWAY,0.7978035567034367,0.5230795173429247,0.5238095238095238,True,NO +6.0
2020,4,DAL,CLE,8.060551687192941,7.943190336058034,-11.0,3.5,4.560551687192941,False,False,"(3, 5]",4.560551687192941,HOME,0.7971994105487519,0.5219261474112535,0.5238095238095238,False,DAL +3.5
2024,2,DET,TB,4.059452282453026,7.943190336058034,-4.0,7.5,-3.4405477175469743,False,False,"(-5, -3]",3.4405477175469743,HOME,0.7971770821581818,0.5218835204838017,0.5238095238095238,True,DET +7.5
2022,13,NE,BUF,-8.051839035768394,7.943190336058034,-14.0,-3.5,-4.551839035768394,True,True,"(-5, -3]",4.551839035768394,AWAY,0.7970224204219336,0.5215882571691459,0.5238095238095238,True,BUF +3.5
2024,14,NYG,NO,-6.017425671909034,7.943190336058034,-3.0,-5.5,-0.5174256719090344,True,True,"(-1, 1]",0.5174256719090344,AWAY,0.7963224408867313,0.5202519326019416,0.5238095238095238,True,NO +5.5
2023,10,SEA,WAS,5.506869022019175,7.943190336058034,3.0,6.0,-0.493130977980825,True,True,"(-1, 1]",0.493130977980825,HOME,0.7961074268927857,0.5198414513407726,0.5238095238095238,True,SEA +6.0
2019,13,BAL,SF,5.981405113640478,7.943190336058034,3.0,5.5,0.481405113640478,True,True,"(-1, 1]",0.481405113640478,HOME,0.795588230937759,0.5188502590629944,0.5238095238095238,True,BAL +5.5
2024,16,CHI,DET,-4.47714852756983,7.943190336058034,-17.0,-7.0,2.52285147243017,True,True,"(2, 3]",2.52285147243017,AWAY,0.7955013646365408,0.5186844233970324,0.5238095238095238,True,DET +7.0
