season,week,away_team,home_team,closing_spread_home,model_spread,raw_edge,norm_edge,bet_side,won
2018,6,SF,GB,9.0,4.744542950453791,-4.255457049546209,-0.4728285610606899,SF -9.0,False
2023,3,BUF,WAS,-5.5,-8.812435532931609,-3.312435532931609,-0.473205076133087,BUF +5.5,True
2021,1,ARI,TEN,2.5,-0.822497939472951,-3.3224979394729512,-0.4746425627818502,ARI -2.5,True
2023,13,SEA,DAL,9.5,4.984646305841171,-4.515353694158829,-0.47530038885882414,SEA -9.5,False
2018,1,TB,NO,10.0,5.240022051910152,-4.759977948089848,-0.47599779480898474,TB -10.0,True
2020,13,DET,CHI,3.0,-0.3370522629608217,-3.337052262960822,-0.47672175185154597,DET -3.0,True
2020,3,MIA,JAX,3.0,-0.3423673473267049,-3.342367347326705,-0.47748104961810073,MIA -3.0,True
2022,4,CHI,NYG,3.0,-0.3456506226729338,-3.3456506226729337,-0.47795008895327623,CHI -3.0,False
2023,18,PHI,NYG,-4.5,-7.849717265313227,-3.3497172653132274,-0.4785310379018896,PHI +4.5,False
2020,2,BUF,MIA,-5.5,-8.876897292049554,-3.376897292049554,-0.482413898864222,BUF +5.5,True
2018,16,PIT,NO,6.5,3.093965163107908,-3.406034836892092,-0.4865764052702989,PIT -6.5,False
2020,5,TB,CHI,-3.5,-6.924300390842365,-3.4243003908423653,-0.48918577012033787,TB +3.5,False
2024,9,NE,TEN,3.0,-0.4277950545074092,-3.427795054507409,-0.4896850077867727,NE -3.0,False
2019,1,PIT,NE,5.5,2.0686480295997187,-3.4313519704002813,-0.49019313862861164,PIT -5.5,False
2022,4,DEN,LV,2.5,-0.9356736133302276,-3.4356736133302275,-0.4908105161900325,DEN -2.5,False
2023,17,LAC,DEN,3.5,0.0638223066560117,-3.4361776933439883,-0.4908825276205698,LAC -3.5,False
2023,9,CHI,NO,9.0,4.557615293540091,-4.442384706459909,-0.49359830071776767,CHI -9.0,False
2024,15,NE,ARI,6.0,2.5060039234294806,-3.4939960765705194,-0.49914229665293136,NE -6.0,False
2018,13,LAC,PIT,3.5,0.001318740812199,-3.498681259187801,-0.4998116084554001,LAC -3.5,True
2022,10,LAC,SF,8.5,4.244222613369221,-4.255777386630779,-0.5006796925447975,LAC -8.5,False
2024,2,CHI,HOU,6.0,2.474346135159988,-3.525653864840012,-0.5036648378342875,CHI -6.0,False
2021,14,BUF,TB,3.5,-0.0282872540658736,-3.5282872540658734,-0.5040410362951248,BUF -3.5,False
