season,week,away_team,home_team,closing_spread_home,model_spread,edge,edge_bin,confidence,bet_side,won
2023,16,JAX,TB,-2.0,8.049214663690067,10.049214663690067,huge,STRONG,TB -2.0,True
2018,15,PHI,LA,13.5,3.475887188681124,-10.024112811318876,huge,STRONG,PHI -13.5,True
2019,15,TB,DET,-5.5,4.466202032577963,9.966202032577964,huge,STRONG,DET -5.5,False
2022,15,DET,NYJ,2.0,-7.87839769084629,-9.87839769084629,huge,STRONG,DET -2.0,True
2018,13,CAR,TB,-3.5,6.375570940712626,9.875570940712626,huge,STRONG,TB -3.5,True
2019,17,CHI,MIN,-5.5,4.312640274574866,9.812640274574866,huge,STRONG,MIN -5.5,False
2020,12,SEA,PHI,-6.5,3.311472809516688,9.811472809516689,huge,STRONG,PHI -6.5,False
2018,17,CIN,PIT,14.0,4.231165019835019,-9.768834980164982,huge,STRONG,CIN -14.0,False
2024,16,NO,GB,14.0,4.240405419012786,-9.759594580987214,huge,STRONG,NO -14.0,False
2024,8,NYJ,NE,-7.0,2.736140072532679,9.73614007253268,huge,STRONG,NE -7.0,True
2024,3,GB,TEN,3.0,-6.721825426802509,-9.721825426802509,huge,STRONG,GB -3.0,True
2018,14,NYJ,BUF,4.5,14.207460936878716,9.707460936878716,huge,STRONG,BUF +4.5,False
2022,2,WAS,DET,-1.0,8.64308087366708,9.64308087366708,huge,STRONG,DET -1.0,True
2024,11,HOU,DAL,-7.5,2.1399909037643154,9.639990903764316,huge,STRONG,DAL -7.5,False
2018,7,LA,SF,-8.0,1.59714747058455,9.59714747058455,huge,STRONG,SF -8.0,False
2020,6,KC,BUF,-5.5,4.057670025322691,9.557670025322691,huge,STRONG,BUF -5.5,False
2019,9,MIN,KC,-5.5,4.053446581754501,9.5534465817545,huge,STRONG,KC -5.5,True
2019,6,CAR,TB,-2.0,7.544967492436765,9.544967492436765,huge,STRONG,TB -2.0,False
2023,9,ARI,CLE,13.0,3.459441006938872,-9.540558993061127,huge,STRONG,ARI -13.0,False
2018,13,BUF,MIA,3.5,-5.990466426599928,-9.490466426599928,huge,STRONG,BUF -3.5,False
2023,18,PIT,BAL,-3.0,6.475987624719534,9.475987624719533,huge,STRONG,BAL -3.0,False
2024,18,NYG,PHI,3.0,12.44824538223128,9.44824538223128,huge,STRONG,PHI +3.0,True
2018,13,NO,DAL,-7.0,2.4409746327383286,9.440974632738328,huge,STRONG,DAL -7.0,True
2022,12,CHI,NYJ,8.5,-0.8987022847837197,-9.39870228478372,huge,STRONG,CHI -8.5,False
2021,12,CLE,BAL,3.0,12.393425288475209,9.393425288475209,huge,STRONG,BAL +3.0,True
2021,2,DET,GB,11.5,2.11025121018128,-9.38974878981872,huge,STRONG,DET -11.5,False
2024,7,NYJ,PIT,-3.0,6.356475280158126,9.356475280158126,huge,STRONG,PIT -3.0,True
2020,10,BUF,ARI,3.0,-6.327716744304337,-9.327716744304336,huge,STRONG,BUF -3.0,False
2020,15,PHI,ARI,6.5,-2.8212180641232,-9.321218064123201,huge,STRONG,PHI -6.5,False
2020,17,JAX,IND,15.5,6.206532552440466,-9.293467447559534,huge,STRONG,JAX -15.5,False
2019,15,NE,CIN,-10.5,-1.2164415998522906,9.28355840014771,huge,STRONG,CIN -10.5,False
2019,7,JAX,CIN,-4.0,5.272288681780352,9.272288681780353,huge,STRONG,CIN -4.0,False
2018,6,CHI,MIA,-7.5,1.761941292759514,9.261941292759515,huge,STRONG,MIA -7.5,True
2021,12,LA,GB,-2.0,7.25514625547485,9.25514625547485,huge,STRONG,GB -2.0,True
2022,2,NE,PIT,-3.0,6.240558709686773,9.240558709686773,huge,STRONG,PIT -3.0,False
2022,13,JAX,DET,1.0,10.230093795072351,9.230093795072351,huge,STRONG,DET +1.0,True
2021,12,CAR,MIA,-1.0,8.202050177881251,9.202050177881251,huge,STRONG,MIA -1.0,True
2023,11,TB,SF,13.5,4.29821332499963,-9.20178667500037,huge,STRONG,TB -13.5,False
2024,3,JAX,BUF,4.0,13.17701073896331,9.17701073896331,huge,STRONG,BUF +4.0,True
2020,4,PHI,SF,8.5,-0.6535786712767306,-9.15357867127673,huge,STRONG,PHI -8.5,True
2023,16,BUF,LAC,-13.0,-3.850253100237507,9.149746899762492,huge,STRONG,LAC -13.0,False
2021,3,CAR,HOU,-8.0,1.1346935413823125,9.134693541382312,huge,STRONG,HOU -8.0,False
2019,2,TB,CAR,6.5,-2.618424638571151,-9.11842463857115,huge,STRONG,TB -6.5,True
2021,16,BUF,NE,1.0,-8.051839035768394,-9.051839035768394,huge,STRONG,BUF -1.0,True
2021,11,HOU,TEN,10.5,1.458044962871748,-9.041955037128252,huge,STRONG,HOU -10.5,True
2022,7,NYJ,DEN,-2.0,7.038883841155748,9.038883841155748,huge,STRONG,DEN -2.0,False
2022,15,CIN,TB,-3.5,5.498836576930647,8.998836576930646,huge,STRONG,TB -3.5,False
2018,16,LA,ARI,-14.5,-5.509487481300583,8.990512518699417,huge,STRONG,ARI -14.5,False
2022,12,BUF,DET,-10.0,-1.0683437928202162,8.931656207179785,huge,STRONG,DET -10.0,False
2021,1,PHI,ATL,3.5,-5.405142797485899,-8.9051427974859,huge,STRONG,PHI -3.5,True
2021,14,BAL,CLE,3.0,-5.881255205120893,-8.881255205120894,huge,STRONG,BAL -3.0,False
2023,15,SF,ARI,-12.5,-3.619560842959989,8.880439157040012,huge,STRONG,ARI -12.5,False
